load_1_0;load_2_1;load_3_2;load_4_3;load_5_4;load_8_5;load_9_6;load_10_7;load_11_8;load_12_9;load_13_10
9.83;40.73;21.01;3.12;5.57;13.84;4.11;1.56;2.44;5.62;7.33
9.93;41.01;20.84;3.10;5.48;13.76;4.03;1.55;2.43;5.64;7.24
9.55;39.40;19.90;2.97;5.25;13.31;3.91;1.53;2.38;5.30;6.98
9.23;38.31;19.61;2.92;5.17;12.87;3.83;1.48;2.25;5.21;6.79
9.21;38.34;19.92;2.88;5.23;13.01;3.79;1.44;2.30;5.23;6.77
9.02;37.54;18.56;2.87;5.03;12.59;3.71;1.46;2.26;5.17;6.62
8.64;35.35;17.94;2.69;4.67;11.90;3.53;1.37;2.12;4.89;6.17
8.51;35.08;18.36;2.75;4.74;11.88;3.50;1.37;2.17;4.92;6.34
9.09;38.10;19.59;2.84;5.11;13.01;3.79;1.47;2.32;5.25;6.77
9.13;37.80;19.69;3.04;5.18;12.93;3.76;1.52;2.33;5.37;6.70
8.71;36.29;18.64;2.86;4.99;12.34;3.63;1.41;2.22;5.17;6.49
8.58;36.83;18.48;2.82;5.00;12.31;3.63;1.45;2.27;5.13;6.45
9.10;36.81;19.25;2.85;5.05;12.45;3.68;1.47;2.30;5.10;6.57
9.12;37.34;19.48;2.92;5.14;12.96;3.75;1.48;2.31;5.18;6.57
9.04;36.61;18.81;2.83;4.98;12.60;3.74;1.46;2.33;5.16;6.48
8.97;37.22;19.27;2.88;4.99;12.77;3.66;1.42;2.33;5.17;6.50
8.92;36.51;18.75;2.83;4.98;12.60;3.68;1.44;2.24;5.16;6.50
8.92;37.38;19.14;2.88;4.91;12.57;3.74;1.44;2.25;5.13;6.62
9.00;37.32;19.13;2.89;5.02;12.66;3.71;1.49;2.31;5.29;6.65
9.27;38.36;19.27;3.01;5.11;12.56;3.74;1.51;2.33;5.30;6.62
9.93;40.50;20.88;3.10;5.43;13.52;3.97;1.60;2.42;5.72;6.98
9.65;41.07;21.14;3.22;5.46;13.69;3.99;1.61;2.53;5.60;7.26
9.85;40.77;21.17;3.18;5.54;13.72;4.12;1.57;2.50;5.73;7.15
9.94;42.66;21.81;3.35;5.73;14.10;4.21;1.67;2.54;5.88;7.41
11.56;48.72;25.37;3.81;6.47;16.07;4.91;1.97;3.01;6.76;8.55
12.09;50.27;25.61;3.91;6.76;16.66;4.86;1.96;3.14;7.05;8.71
12.38;50.61;26.28;4.01;6.74;16.87;5.10;2.06;3.16;7.16;9.16
13.44;55.79;28.45;4.41;7.57;18.24;5.53;2.24;3.42;7.71;9.62
18.22;76.08;38.75;5.93;10.08;24.50;7.43;3.01;4.69;10.35;13.00
19.84;80.12;41.39;6.36;10.82;26.01;7.88;3.23;4.94;11.39;14.05
20.20;82.05;41.85;6.51;11.07;26.80;8.16;3.30;5.15;11.36;14.37
20.47;84.51;44.16;6.82;11.34;28.40;8.33;3.41;5.32;11.74;14.75
21.22;86.08;44.35;6.94;11.56;28.26;8.35;3.42;5.33;12.07;15.28
21.62;89.19;45.43;6.96;11.85;28.90;8.52;3.53;5.51;12.37;15.28
22.15;88.09;46.21;7.17;12.03;29.33;8.86;3.59;5.49;12.66;15.51
22.76;93.20;47.68;7.37;12.35;29.15;9.10;3.68;5.85;12.90;15.93
19.94;81.69;42.08;6.58;10.88;26.62;7.92;3.24;5.06;11.36;14.12
20.57;82.69;43.70;6.66;11.36;27.14;8.23;3.33;5.29;11.76;14.40
21.86;87.96;46.01;7.18;11.87;28.83;8.74;3.54;5.52;12.49;15.41
22.51;89.30;46.39;7.26;12.10;29.14;8.62;3.68;5.57;12.73;15.46
21.89;88.50;46.05;7.09;11.82;28.37;8.43;3.60;5.55;12.23;15.01
21.55;87.94;45.15;7.05;11.75;28.19;8.48;3.57;5.41;12.36;14.81
20.65;87.13;44.02;6.95;11.38;27.70;8.56;3.53;5.44;12.09;14.81
21.19;85.37;44.70;6.96;11.60;27.65;8.38;3.43;5.35;12.01;15.04
21.22;85.97;44.53;7.01;11.51;27.32;8.31;3.50;5.40;12.31;14.61
21.18;87.15;44.39;6.99;11.45;28.07;8.72;3.55;5.47;12.16;15.00
21.43;89.68;45.89;7.21;12.02;28.43;8.88;3.66;5.64;12.75;15.68
22.06;90.33;45.06;7.15;11.91;28.59;8.49;3.52;5.59;12.33;15.12
22.89;89.84;46.41;7.45;12.24;29.27;8.83;3.73;5.64;12.77;15.75
23.18;93.16;47.66;7.55;12.40;30.08;8.84;3.77;5.93;13.05;15.85
22.99;93.24;47.70;7.55;12.52;28.92;9.06;3.78;5.83;13.27;15.97
22.84;92.53;47.49;7.44;12.32;29.11;8.92;3.72;5.74;12.64;15.51
