load_1_0;load_2_1;load_3_2;load_4_3;load_5_4;load_8_5;load_9_6;load_10_7;load_11_8;load_12_9;load_13_10
4.65;19.25;9.92;1.49;2.60;6.42;1.87;0.73;1.14;2.64;3.50
4.62;19.24;9.72;1.48;2.55;6.38;1.90;0.72;1.14;2.59;3.38
4.36;18.48;9.44;1.42;2.44;6.17;1.78;0.69;1.06;2.44;3.33
4.30;17.63;9.12;1.34;2.39;5.90;1.79;0.70;1.05;2.46;3.22
4.22;17.88;9.31;1.41;2.37;6.08;1.76;0.67;1.06;2.43;3.17
4.29;17.67;8.99;1.35;2.35;5.95;1.72;0.66;1.06;2.38;3.10
3.97;16.66;8.23;1.26;2.20;5.58;1.62;0.65;1.00;2.29;2.97
4.02;16.70;8.48;1.27;2.22;5.56;1.66;0.65;1.01;2.31;2.96
4.23;17.70;9.05;1.36;2.37;6.03;1.74;0.69;1.07;2.43;3.12
4.41;17.97;9.16;1.39;2.38;6.02;1.78;0.70;1.08;2.47;3.17
4.11;17.15;8.65;1.30;2.33;5.69;1.69;0.67;1.03;2.33;3.02
4.15;17.05;8.75;1.33;2.33;5.87;1.70;0.67;1.06;2.36;3.03
4.17;17.46;8.76;1.35;2.39;5.88;1.75;0.67;1.07;2.39;3.06
4.26;17.65;8.85;1.33;2.41;5.92;1.79;0.68;1.08;2.47;3.12
4.17;17.25;9.04;1.31;2.34;5.84;1.73;0.67;1.07;2.43;3.07
4.21;17.36;8.94;1.37;2.32;5.92;1.77;0.70;1.07;2.50;3.05
4.16;17.04;8.94;1.32;2.30;5.80;1.70;0.69;1.05;2.39;3.05
4.17;17.29;8.86;1.32;2.34;5.79;1.74;0.69;1.08;2.43;3.03
4.19;17.40;8.87;1.36;2.29;5.82;1.72;0.69;1.09;2.44;3.05
4.26;17.38;9.10;1.37;2.41;5.91;1.74;0.70;1.07;2.47;3.11
4.59;18.73;9.69;1.45;2.55;6.27;1.87;0.74;1.13;2.65;3.33
4.64;18.97;9.68;1.49;2.50;6.43;1.88;0.75;1.17;2.63;3.35
4.54;19.08;9.83;1.50;2.58;6.43;1.86;0.75;1.18;2.65;3.33
4.77;19.54;10.38;1.52;2.67;6.56;1.99;0.78;1.22;2.84;3.45
5.47;22.69;11.71;1.77;3.04;7.63;2.23;0.89;1.39;3.12;3.93
5.69;23.28;11.70;1.82;3.12;7.82;2.29;0.95;1.42;3.24;4.07
5.87;23.87;12.30;1.86;3.28;8.09;2.39;0.93;1.46;3.36;4.21
6.28;26.26;13.39;2.06;3.47;8.39;2.59;1.05;1.62;3.64;4.57
8.73;33.97;17.93;2.71;4.66;11.56;3.42;1.42;2.18;4.84;6.07
8.92;37.53;19.37;2.97;5.06;12.21;3.73;1.52;2.34;5.13;6.58
9.58;38.65;19.61;3.04;5.11;12.56;3.82;1.55;2.40;5.31;6.73
9.57;38.81;19.87;3.08;5.42;13.05;3.95;1.61;2.48;5.49;6.96
9.79;39.69;20.25;3.22;5.30;13.14;3.89;1.61;2.55;5.56;6.90
10.19;41.10;21.35;3.26;5.68;13.24;4.02;1.66;2.56;5.82;7.07
10.34;42.41;21.66;3.38;5.63;13.71;4.15;1.69;2.60;5.91;7.10
10.48;42.91;22.18;3.54;5.78;13.94;4.33;1.73;2.67;6.00;7.30
9.29;38.23;19.40;3.05;4.96;12.34;3.63;1.53;2.42;5.34;6.49
9.47;39.71;20.31;3.14;5.36;12.67;3.85;1.57;2.42;5.42;6.73
10.13;41.78;21.65;3.26;5.55;13.32;4.09;1.67;2.64;5.90;7.08
10.17;42.77;21.53;3.37;5.61;13.67;4.07;1.75;2.59;5.89;7.22
10.21;41.12;20.83;3.29;5.48;12.95;3.97;1.64;2.60;5.69;7.06
10.01;40.86;21.04;3.27;5.52;13.07;3.95;1.63;2.52;5.72;6.95
